municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 05:40:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 05:50:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 06:00:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 06:10:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 06:20:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 06:30:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 06:40:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 07:00:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 07:10:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 07:30:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 07:40:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 08:10:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 08:30:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 08:50:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 09:00:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 09:10:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 09:30:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 09:50:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 10:00:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 10:10:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 10:20:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 10:30:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 10:40:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 10:50:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 11:00:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 11:10:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 11:20:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-06-11 11:30:00.0;0,20
